
Layer_Name,Layer_Type,Number_of_Nodes,Activation_Function
dense_155,Dense,256,tanh
dropout_5,Dropout,,
dense_156,Dense,128,tanh
dropout_6,Dropout,,
dense_157,Dense,64,relu
dropout_7,Dropout,,
dense_158,Dense,32,relu
dropout_8,Dropout,,
dense_159,Dense,1,softmax
MAE,1.1134335417621164,MSE,1.582038782350921,R^2,-3.6179212441336626

Layer_Name,Layer_Type,Number_of_Nodes,Activation_Function
dense_160,Dense,256,tanh
dropout_9,Dropout,,
batch_normalization,BatchNormalization,,
dense_161,Dense,128,tanh
dropout_10,Dropout,,
batch_normalization_1,BatchNormalization,,
dense_162,Dense,64,relu
dropout_11,Dropout,,
batch_normalization_2,BatchNormalization,,
dense_163,Dense,32,relu
dropout_12,Dropout,,
batch_normalization_3,BatchNormalization,,
dense_164,Dense,1,softmax
MAE,1.1094506763790544,MSE,1.5743128502296777,R^2,-3.581918301214208

Layer_Name,Layer_Type,Number_of_Nodes,Activation_Function
dense_165,Dense,256,tanh
dropout_13,Dropout,,
batch_normalization_4,BatchNormalization,,
dense_166,Dense,128,tanh
dropout_14,Dropout,,
batch_normalization_5,BatchNormalization,,
dense_167,Dense,64,relu
dropout_15,Dropout,,
batch_normalization_6,BatchNormalization,,
dense_168,Dense,32,relu
dropout_16,Dropout,,
batch_normalization_7,BatchNormalization,,
dense_169,Dense,1,softmax
MAE,1.1094506763790544,MSE,1.5743128502296777,R^2,-3.581918301214208

Layer_Name,Layer_Type,Number_of_Nodes,Activation_Function
dense_170,Dense,256,tanh
dropout_17,Dropout,,
batch_normalization_8,BatchNormalization,,
dense_171,Dense,128,tanh
dropout_18,Dropout,,
batch_normalization_9,BatchNormalization,,
dense_172,Dense,64,relu
dropout_19,Dropout,,
batch_normalization_10,BatchNormalization,,
dense_173,Dense,32,relu
dropout_20,Dropout,,
batch_normalization_11,BatchNormalization,,
dense_174,Dense,1,softmax
MAE,1.1094506763790544,MSE,1.5743128502296777,R^2,-3.581918301214208

Layer_Name,Layer_Type,Number_of_Nodes,Activation_Function
dense_175,Dense,512,tanh
dense_176,Dense,256,relu
dense_177,Dense,128,relu
dense_178,Dense,32,sigmoid
dense_179,Dense,1,linear
MAE,0.5744072780804657,MSE,0.3429200506702429,R^2,0.001957167668382054

Layer_Name,Layer_Type,Number_of_Nodes,Activation_Function
dense_180,Dense,512,tanh
batch_normalization_12,BatchNormalization,,
dense_181,Dense,256,relu
dense_182,Dense,128,relu
dense_183,Dense,32,sigmoid
dense_184,Dense,1,linear
MAE,0.5744208855463564,MSE,0.3433177707480898,R^2,0.0007996335078872541

Layer_Name,Layer_Type,Number_of_Nodes,Activation_Function
dense_185,Dense,512,tanh
batch_normalization_13,BatchNormalization,,
dense_186,Dense,256,relu
dense_187,Dense,128,relu
dense_188,Dense,64,relu
dense_189,Dense,64,relu
dense_190,Dense,64,relu
dense_191,Dense,32,sigmoid
dense_192,Dense,1,linear
MAE,0.5744836840055189,MSE,0.34364078216047983,R^2,-0.0001404667407483018

Layer_Name,Layer_Type,Number_of_Nodes,Activation_Function
dense_193,Dense,512,tanh
batch_normalization_14,BatchNormalization,,
dense_194,Dense,256,relu
dense_195,Dense,128,relu
dense_196,Dense,64,relu
dense_197,Dense,32,sigmoid
dense_198,Dense,1,linear
MAE,0.6339344463936055,MSE,0.6884017935514316,R^2,-1.0035412758028501

Layer_Name,Layer_Type,Number_of_Nodes,Activation_Function
dense_3,Dense,512,linear
batch_normalization_1,BatchNormalization,,
dropout_1,Dropout,,
dense_4,Dense,256,relu
dense_5,Dense,128,relu
dropout_2,Dropout,,
dense_6,Dense,64,relu
dense_7,Dense,32,sigmoid
dense_8,Dense,1,linear
MAE,0.5763865457549447,MSE,0.4146013482838142,R^2,-0.20666581939704676

Layer_Name,Layer_Type,Number_of_Nodes,Activation_Function
dense_9,Dense,512,linear
batch_normalization_2,BatchNormalization,,
dropout_3,Dropout,,
dense_10,Dense,256,relu
dense_11,Dense,128,relu
dropout_4,Dropout,,
dense_12,Dense,64,relu
dense_13,Dense,32,sigmoid
dense_14,Dense,1,linear
MAE,0.5752280902270482,MSE,0.3462235840800339,R^2,-0.0076575160882714766

Layer_Name,Layer_Type,Number_of_Nodes,Activation_Function
dense_15,Dense,512,linear
batch_normalization_3,BatchNormalization,,
dropout_5,Dropout,,
dense_16,Dense,256,relu
batch_normalization_4,BatchNormalization,,
dense_17,Dense,128,relu
dropout_6,Dropout,,
dense_18,Dense,64,relu
dense_19,Dense,32,sigmoid
dense_20,Dense,1,linear
MAE,0.5755875861893599,MSE,0.3439232012785576,R^2,-0.0009624261915299748

Layer_Name,Layer_Type,Number_of_Nodes,Activation_Function
dense,Dense,512,relu
batch_normalization,BatchNormalization,,
dropout,Dropout,,
dense_1,Dense,256,relu
batch_normalization_1,BatchNormalization,,
dense_2,Dense,128,relu
dropout_1,Dropout,,
dense_3,Dense,64,relu
dense_4,Dense,1,linear
MAE,0.5737596562155658,MSE,0.341807192750251,R^2,0.0051960563489376055

Layer_Name,Layer_Type,Number_of_Nodes,Activation_Function
dense_10,Dense,512,tanh
batch_normalization_4,BatchNormalization,,
dropout_4,Dropout,,
dense_11,Dense,256,tanh
batch_normalization_5,BatchNormalization,,
dense_12,Dense,128,sigmoid
dropout_5,Dropout,,
dense_13,Dense,64,relu
dense_14,Dense,1,linear
MAE,0.574366785819591,MSE,0.3431328755448426,R^2,0.0013377569916923626

Layer_Name,Layer_Type,Number_of_Nodes,Activation_Function
dense_25,Dense,512,tanh
batch_normalization_10,BatchNormalization,,
dropout_10,Dropout,,
dense_26,Dense,256,tanh
batch_normalization_11,BatchNormalization,,
dense_27,Dense,128,sigmoid
dropout_11,Dropout,,
dense_28,Dense,64,relu
dense_29,Dense,1,linear
MAE,0.2081662916372477,MSE,0.11474815054764018,R^2,0.6615094559434994

Layer_Name,Layer_Type,Number_of_Nodes,Activation_Function
dense_35,Dense,1024,tanh
batch_normalization_14,BatchNormalization,,
dropout_14,Dropout,,
dense_36,Dense,512,tanh
batch_normalization_15,BatchNormalization,,
dense_37,Dense,128,sigmoid
dropout_15,Dropout,,
dense_38,Dense,64,relu
dense_39,Dense,1,linear
MAE,0.2740699287494512,MSE,0.18615963377928052,R^2,0.4558734385803853

Layer_Name,Layer_Type,Number_of_Nodes,Activation_Function
dense_46,Dense,512,tanh
batch_normalization_18,BatchNormalization,,
dropout_18,Dropout,,
dense_47,Dense,256,tanh
batch_normalization_19,BatchNormalization,,
dense_48,Dense,128,relu
dropout_19,Dropout,,
dense_49,Dense,64,sigmoid
dropout_20,Dropout,,
dense_50,Dense,1,linear
MAE,0.27136454087235373,MSE,0.17761323030094436,R^2,0.4808537473764658

Layer_Name,Layer_Type,Number_of_Nodes,Activation_Function
dense_51,Dense,512,linear
batch_normalization_20,BatchNormalization,,
dropout_21,Dropout,,
dense_52,Dense,256,sigmoid
batch_normalization_21,BatchNormalization,,
dense_53,Dense,128,sigmoid
dropout_22,Dropout,,
dense_54,Dense,64,relu
dropout_23,Dropout,,
dense_55,Dense,1,linear
MAE,0.3384564932597257,MSE,0.18215573024562054,R^2,0.46757646043210066

Layer_Name,Layer_Type,Number_of_Nodes,Activation_Function
dense_57,Dense,64,relu
batch_normalization_23,BatchNormalization,,
dropout_25,Dropout,,
dense_58,Dense,16,relu
batch_normalization_24,BatchNormalization,,
dropout_26,Dropout,,
dense_59,Dense,8,relu
dropout_27,Dropout,,
batch_normalization_25,BatchNormalization,,
dense_60,Dense,1,linear
MAE,0.43853500023656894,MSE,0.2238394274745939,R^2,0.34573905465298593

Layer_Name,Layer_Type,Number_of_Nodes,Activation_Function
dense_61,Dense,48,relu
batch_normalization_26,BatchNormalization,,
dropout_28,Dropout,,
dense_62,Dense,64,relu
batch_normalization_27,BatchNormalization,,
dropout_29,Dropout,,
dense_63,Dense,64,relu
dropout_30,Dropout,,
dense_64,Dense,64,relu
batch_normalization_28,BatchNormalization,,
dropout_31,Dropout,,
dense_65,Dense,64,relu
batch_normalization_29,BatchNormalization,,
dropout_32,Dropout,,
dense_66,Dense,64,relu
batch_normalization_30,BatchNormalization,,
dropout_33,Dropout,,
dense_67,Dense,64,relu
batch_normalization_31,BatchNormalization,,
dropout_34,Dropout,,
dense_68,Dense,64,relu
batch_normalization_32,BatchNormalization,,
dropout_35,Dropout,,
dense_69,Dense,64,relu
batch_normalization_33,BatchNormalization,,
dropout_36,Dropout,,
dense_70,Dense,16,relu
batch_normalization_34,BatchNormalization,,
dropout_37,Dropout,,
batch_normalization_35,BatchNormalization,,
dense_71,Dense,1,linear
MAE,0.3825933538641636,MSE,0.19667721141887595,R^2,0.4251315788156512

Layer_Name,Layer_Type,Number_of_Nodes,Activation_Function
dense_72,Dense,256,tanh
batch_normalization_36,BatchNormalization,,
dropout_38,Dropout,,
dense_73,Dense,128,tanh
batch_normalization_37,BatchNormalization,,
dropout_39,Dropout,,
dense_74,Dense,64,sigmoid
dropout_40,Dropout,,
batch_normalization_38,BatchNormalization,,
dense_75,Dense,1,linear
MAE,0.2798293696341163,MSE,0.18639994148701125,R^2,0.4551710424484441

Layer_Name,Layer_Type,Number_of_Nodes,Activation_Function
dense,Dense,512,tanh
batch_normalization,BatchNormalization,,
dropout,Dropout,,
dense_1,Dense,256,tanh
batch_normalization_1,BatchNormalization,,
dropout_1,Dropout,,
dense_2,Dense,128,sigmoid
dropout_2,Dropout,,
batch_normalization_2,BatchNormalization,,
dense_3,Dense,64,relu
dropout_3,Dropout,,
batch_normalization_3,BatchNormalization,,
dense_4,Dense,1,linear
MAE,0.27516457249123527,MSE,0.18588840510690438,R^2,0.45666621369420735

Layer_Name,Layer_Type,Number_of_Nodes,Activation_Function
dense,Dense,512,tanh
batch_normalization,BatchNormalization,,
dropout,Dropout,,
dense_1,Dense,256,tanh
batch_normalization_1,BatchNormalization,,
dropout_1,Dropout,,
dense_2,Dense,128,sigmoid
dropout_2,Dropout,,
batch_normalization_2,BatchNormalization,,
dense_3,Dense,64,relu
dropout_3,Dropout,,
batch_normalization_3,BatchNormalization,,
dense_4,Dense,1,linear
MAE,0.2847096120018024,MSE,0.20373249946256092,R^2,0.040669529914950875

Layer_Name,Layer_Type,Number_of_Nodes,Activation_Function
dense_5,Dense,512,tanh
batch_normalization_4,BatchNormalization,,
dropout_4,Dropout,,
dense_6,Dense,256,tanh
batch_normalization_5,BatchNormalization,,
dropout_5,Dropout,,
dense_7,Dense,128,sigmoid
dropout_6,Dropout,,
batch_normalization_6,BatchNormalization,,
dense_8,Dense,64,relu
dropout_7,Dropout,,
batch_normalization_7,BatchNormalization,,
dense_9,Dense,1,linear
MAE,0.2686040559553951,MSE,0.18843848343314948,R^2,0.11268560798638183

Layer_Name,Layer_Type,Number_of_Nodes,Activation_Function
dense_20,Dense,512,tanh
batch_normalization_16,BatchNormalization,,
dropout_16,Dropout,,
dense_21,Dense,256,tanh
batch_normalization_17,BatchNormalization,,
dropout_17,Dropout,,
dense_22,Dense,128,sigmoid
dropout_18,Dropout,,
batch_normalization_18,BatchNormalization,,
dense_23,Dense,64,relu
dropout_19,Dropout,,
batch_normalization_19,BatchNormalization,,
